command,kind,type,default,prefix,module,platform_text,runtime_editable,startup_only,in_default_engine,in_scalability,scalability_group,scalability_sections,usage,help,flags
r.RayTracing.Geometry.SkeletalMeshes,CVar,int32,1,r,光线追踪,All,true,false,false,true,true,GlobalIlluminationQuality@1;GlobalIlluminationQuality@2;GlobalIlluminationQuality@3;GlobalIlluminationQuality@Cine,`r.RayTracing.Geometry.SkeletalMeshes=<值>` / `r.RayTracing.Geometry.SkeletalMeshes <值>` 或 INI 中配置,Defines if skeletal meshes are added to the ray tracing scene.\n,ECVF_Scalability
r.RayTracing.Scene.BuildMode,CVar,int32,1,r,光线追踪,All,true,false,false,true,true,GlobalIlluminationQuality@0;GlobalIlluminationQuality@1;GlobalIlluminationQuality@2;GlobalIlluminationQuality@3;GlobalIlluminationQuality@Cine,`r.RayTracing.Scene.BuildMode=<值>` / `r.RayTracing.Scene.BuildMode <值>` 或 INI 中配置,Controls the mode in which ray tracing scene is built:\n,ECVF_RenderThreadSafe | ECVF_Scalability
r.Refraction.OffsetQuality,CVar,int32,0,r,通用,All,true,false,false,true,true,EffectsQuality@3;EffectsQuality@Cine,`r.Refraction.OffsetQuality=<值>` / `r.Refraction.OffsetQuality <值>` 或 INI 中配置,"When enabled, the offset buffer is made float for higher quality. This is important to maintain the softness of the blurred scene buffer.",ECVF_Scalability | ECVF_RenderThreadSafe
r.RefractionQuality,CVar,int32,2,r,通用,All,true,false,false,true,true,EffectsQuality@0;EffectsQuality@1;EffectsQuality@2;EffectsQuality@3;EffectsQuality@Cine,`r.RefractionQuality=<值>` / `r.RefractionQuality <值>` 或 INI 中配置,Defines the distorion/refraction quality which allows to adjust for quality or performance.\n,ECVF_Scalability | ECVF_RenderThreadSafe
r.RenderTargetPoolMin,CVar,int32,400,r,光线追踪,All,true,false,false,true,true,PostProcessQuality@0;PostProcessQuality@1;PostProcessQuality@2;PostProcessQuality@3;PostProcessQuality@Cine,`r.RenderTargetPoolMin=<值>` / `r.RenderTargetPoolMin <值>` 或 INI 中配置,,ECVF_Scalability | ECVF_RenderThreadSafe
r.SceneColorFormat,CVar,int32,4,r,后处理,All,true,false,false,true,true,EffectsQuality@0;EffectsQuality@1;EffectsQuality@2;EffectsQuality@3;EffectsQuality@Cine,`r.SceneColorFormat=<值>` / `r.SceneColorFormat <值>` 或 INI 中配置,,ECVF_Scalability | ECVF_RenderThreadSafe
r.SceneColorFringeQuality,CVar,int32,1,r,后处理,All,true,false,false,true,true,PostProcessQuality@0;PostProcessQuality@1;PostProcessQuality@2;PostProcessQuality@3;PostProcessQuality@Cine,`r.SceneColorFringeQuality=<值>` / `r.SceneColorFringeQuality <值>` 或 INI 中配置,,ECVF_Scalability | ECVF_RenderThreadSafe
r.Shadow.CSM.MaxCascades,CVar,int32,10,r,阴影,All,true,false,false,true,true,ShadowQuality@0;ShadowQuality@1;ShadowQuality@2;ShadowQuality@3;ShadowQuality@Cine,`r.Shadow.CSM.MaxCascades=<值>` / `r.Shadow.CSM.MaxCascades <值>` 或 INI 中配置,The maximum number of cascades with which to render dynamic directional light shadows.,ECVF_Scalability | ECVF_RenderThreadSafe
r.Shadow.CSM.TransitionScale,CVar,float,1.0f,r,阴影,All,true,false,false,true,true,ShadowQuality@0;ShadowQuality@1;ShadowQuality@2;ShadowQuality@3;ShadowQuality@Cine,`r.Shadow.CSM.TransitionScale=<值>` / `r.Shadow.CSM.TransitionScale <值>` 或 INI 中配置,,ECVF_Scalability | ECVF_RenderThreadSafe
r.Shadow.DistanceScale,CVar,float,1.0f,r,阴影,All,true,false,false,true,true,ShadowQuality@0;ShadowQuality@1;ShadowQuality@2;ShadowQuality@3;ShadowQuality@Cine,`r.Shadow.DistanceScale=<值>` / `r.Shadow.DistanceScale <值>` 或 INI 中配置,,ECVF_Scalability | ECVF_RenderThreadSafe
r.Shadow.MaxCSMResolution,CVar,int32,2048,r,阴影,All,true,false,false,true,true,ShadowQuality@0;ShadowQuality@1;ShadowQuality@2;ShadowQuality@3;ShadowQuality@Cine,`r.Shadow.MaxCSMResolution=<值>` / `r.Shadow.MaxCSMResolution <值>` 或 INI 中配置,Max square dimensions (in texels) allowed for rendering Cascaded Shadow depths. Range 4 to hardware limit. Higher = better quality shadows but at a performance cost.,ECVF_Scalability | ECVF_RenderThreadSafe
r.Shadow.MaxResolution,CVar,int32,2048,r,阴影,All,true,false,false,true,true,ShadowQuality@0;ShadowQuality@1;ShadowQuality@2;ShadowQuality@3;ShadowQuality@Cine,`r.Shadow.MaxResolution=<值>` / `r.Shadow.MaxResolution <值>` 或 INI 中配置,Max square dimensions (in texels) allowed for rendering shadow depths. Range 4 to hardware limit. Higher = better quality shadows but at a performance cost.,ECVF_Scalability | ECVF_RenderThreadSafe
